Zancada,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
1,00:02.061,00:01.123,00:01.995,00:01.133
2,00:03.184,00:01.062,00:03.128,00:01.066
3,00:04.246,00:01.077,00:04.194,00:01.066
6,00:07.615,00:01.061,00:07.593,00:01.099
7,00:08.676,00:01.077,00:08.692,00:01.100
8,00:09.753,00:01.047,00:09.792,00:01.033
12,00:14.215,00:01.154,00:14.390,00:01.099
13,00:15.369,00:01.061,00:15.489,00:01.099
14,00:16.430,00:01.077,00:16.588,00:01.067
17,00:19.938,00:01.092,00:20.087,00:01.133
18,00:21.030,00:01.108,00:21.220,00:01.099
19,00:22.138,00:01.154,00:22.319,00:01.223
22,00:25.769,00:01.123,00:26.051,00:01.133
23,00:27.938,00:01.154,00:28.286,00:01.097
26,00:31.461,00:01.154,00:31.815,00:01.133
27,00:32.615,00:01.061,00:32.948,00:01.099
28,00:33.676,00:01.108,00:34.047,00:01.100
29,00:34.784,00:01.108,00:35.147,00:01.132
41,00:38.230,00:01.093,00:38.678,00:01.133
42,00:39.323,00:01.046,00:39.811,00:01.100
43,00:40.369,00:01.077,00:40.911,00:01.032
44,00:41.446,00:01.138,00:41.943,00:01.167
47,00:46.092,00:01.061,00:45.542,00:01.133
48,00:47.153,00:01.093,00:46.675,00:01.066
49,00:48.246,00:01.154,00:47.741,00:01.133
53,00:52.800,00:01.138,00:52.405,00:01.166
54,00:53.938,00:01.077,00:53.571,00:01.100
55,00:55.015,00:01.169,00:54.671,00:01.066
56,00:56.184,00:01.277,00:55.737,00:01.133
59,00:59.707,00:01.093,00:59.402,00:01.100
60,01:00.800,00:01.138,01:00.502,00:01.099
61,01:01.938,00:01.292,01:01.601,00:01.166
64,01:05.523,00:01.123,01:05.299,00:01.166
65,01:06.646,00:01.107,01:06.465,00:01.100
66,01:07.753,00:01.123,01:07.565,00:01.133
