Inicio_zancada,Fin_zancada,Duración_zancada
00:01.468750,00:01.671875,00:00.203125
00:01.671875,00:02.640625,00:00.968750
00:02.640625,00:03.718750,00:01.078125
00:03.718750,00:04.796875,00:01.078125
00:04.796875,00:05.875000,00:01.078125
00:05.875000,00:07.031250,00:01.156250
00:07.031250,00:07.187500,00:00.156250
00:07.187500,00:08.234375,00:01.046875
00:08.234375,00:09.296875,00:01.062500
00:09.296875,00:10.390625,00:01.093750
00:10.390625,00:11.484375,00:01.093750
00:11.484375,00:12.750000,00:01.265625
00:12.750000,00:12.906250,00:00.156250
00:12.906250,00:13.859375,00:00.953125
00:13.859375,00:14.984375,00:01.125000
00:14.984375,00:16.078125,00:01.093750
00:16.078125,00:17.156250,00:01.078125
00:17.156250,00:18.328125,00:01.171875
00:18.328125,00:19.640625,00:01.312500
00:19.640625,00:20.765625,00:01.125000
00:20.765625,00:21.843750,00:01.078125
00:21.843750,00:22.984375,00:01.140625
00:22.984375,00:24.171875,00:01.187500
00:24.171875,00:25.484375,00:01.312500
00:25.484375,00:26.703125,00:01.218750
00:26.703125,00:27.781250,00:01.078125
00:27.781250,00:28.906250,00:01.125000
00:28.906250,00:30.046875,00:01.140625
00:30.046875,00:31.281250,00:01.234375
00:31.281250,00:32.484375,00:01.203125
00:32.484375,00:33.562500,00:01.078125
00:33.562500,00:34.687500,00:01.125000
00:34.687500,00:35.796875,00:01.109375
00:35.796875,00:37.015625,00:01.218750
00:37.015625,00:38.140625,00:01.125000
00:38.140625,00:39.328125,00:01.187500
00:39.328125,00:40.375000,00:01.046875
00:40.375000,00:41.468750,00:01.093750
00:41.468750,00:42.593750,00:01.125000
00:42.593750,00:43.734375,00:01.140625
00:43.734375,00:43.937500,00:00.203125
00:43.937500,00:45.015625,00:01.078125
00:45.015625,00:46.203125,00:01.187500
00:46.203125,00:47.281250,00:01.078125
00:47.281250,00:48.375000,00:01.093750
00:48.375000,00:49.484375,00:01.109375
00:49.484375,00:50.750000,00:01.265625
00:50.750000,00:51.953125,00:01.203125
00:51.953125,00:53.046875,00:01.093750
00:53.046875,00:54.171875,00:01.125000
00:54.171875,00:55.218750,00:01.046875
00:55.218750,00:56.375000,00:01.156250
00:56.375000,00:57.546875,00:01.171875
00:57.546875,00:57.781250,00:00.234375
00:57.781250,00:58.890625,00:01.109375
00:58.890625,01:00.000000,00:01.109375
01:00.000000,01:01.125000,00:01.125000
01:01.125000,01:02.218750,00:01.093750
01:02.218750,01:03.500000,00:01.281250
01:03.500000,01:04.781250,00:01.281250
01:04.781250,01:05.906250,00:01.125000
01:05.906250,01:07.031250,00:01.125000
01:07.031250,01:08.156250,00:01.125000
01:08.156250,01:09.312500,00:01.156250
01:09.312500,01:10.625000,00:01.312500
